reference,prediction
"Hi Carmelo, I want to take a couple of minutes and go over the scale on anger that you filled out when you got here. You had mentioned that some people in your life have kind of commented and they said, 'You know, maybe you ought to look into thinking about whether or not you have some issues with anger or not.' And that's one of the reasons you're here. And I'm hoping that this will help sort of identify specific issues related to anger that might be problematic for you. And so this is really feedback meant for you. You can do whatever you'd like with the information. It's just for you to consider it. And so let's go through each area. And there are a number of questions here and a number of sort of different anger dimensions. And I think the place we're going to start is if you look at all the questions that you answered, it comes up with something called a total score, which is just kind of looking at everything together. And when we look at the total score, you scored quite high, actually. You scored in a range that we would sort of call the 99th percentile, which means that your anger is at a level greater than 99% of the population of men your age.","Client: ""I've been feeling really overwhelmed lately. I have so much on my plate, and I just don't know where to start.""

Therapist: ""It sounds like you're feeling quite overwhelmed. Can you tell me more about what's been on your mind lately?"""
Yeah.,I'm really sorry to hear that you're feeling this way. It sounds like you're feeling overwhelmed and frustrated. Can you tell me more about what's been making you feel this way?
"Yeah, so it's kind of hard to hear it that way.",It sounds like you're feeling overwhelmed.
It kind of surprised you?,It's understandable that you're feeling surprised.
Just a little above average.,It sounds like you're feeling a bit taken aback by the high rating.
It's a little bit high and it might indicate that really anger does get you in trouble at times in terms of relationships and causing you... so you've recognized that.,It's quite a bit higher than you expected.
"Okay. So this kind of just highlights that and puts a number on it, in a sense, and so...",It sounds like you've been aware of this for a while and have been trying to acknowledge it.
"Yeah, right. Exactly. Kind of comparing how you answered the question to the general population of folks your age. That you're really, you're sort of in the top 1% of scores.",It sounds like you're curious about the studies that have been done on this topic.
Yeah.,"It's understandable that you might feel that way. It's a lot to take in, isn't it?"
"Because getting angry, saying things to people, not thinking things through, can really put you at risk.",It sounds like you've been through a lot and you're feeling surprised and maybe even a bit relieved that you haven't experienced more harm.
"Hi Lisa, how you doing today?","Client: ""I've been feeling really overwhelmed lately. I have so much on my plate, and I just don't know where to start.""

Therapist: ""It sounds like you're feeling quite overwhelmed. Can you tell me more about what's been on your mind lately?"""
"I'm doing well, thanks for asking. It's nice to meet you, I'm glad you could come into the agency. Could you tell me what brings you here today?",I'm here for you. It sounds like you're feeling well today. How has your day been so far?
All right. So were you ordered by a court or...?,"I see. It sounds like you're feeling a mix of emotions about this situation. You're feeling guilty, perhaps, and maybe a bit overwhelmed by the consequences. Is that right?"
And how long ago did the crime occur?,I see. How are you feeling about that?
"All right. So I'm going to try to get an idea of what's going on with you to see where you fit in in terms of treatment. So it's an assessment, so I'll be asking you some questions about your history and kind of things that you've done, any feelings you've had, thoughts you've had.",I see. And how are you feeling about this situation?
Like diagnosing. Is that okay with you?,"Not exactly. I'm not here to diagnose you. I'm here to understand your experiences and feelings better. So, can you tell me more about what happened that day?"
All right. So how old are you now?,Great. Let's start with something simple. How have you been feeling lately?
All right. So you say about a month ago you got into some trouble. Can you tell me what happened there?,I see. And how does it feel to be 25?
And this was a friend of yours?,I see. It sounds like you're feeling really guilty about this.
How do things stand between you and your friend now?,I see. How did you feel when you took the money?
Have you had any other trouble with the law?,I see. How does that make you feel?
And who's they?,It sounds like you've had a history of conflict. How does that make you feel now?
You remember doing it?,I see. How did that make you feel at the time?
And how old were you when that happened?,"It sounds like you're recalling a difficult time. How does that make you feel now, thinking about it?"
"Were you ever treated for that, like any type of mental health treatment?",It sounds like you were quite young. How did you feel about what happened?
Are you aware of any diagnosis that you've been given related to mental health in the past?,I see. How did that make you feel at the time?
All right. So you got into the sounds like a fairly serious fight when you were 12 and you're 25 now. Can you tell me what's happened in terms of any other problems between 12 and 25?,I see. How did you feel about the therapy you received in the past?
Any other thefts or assaults or anything?,I see. It sounds like you've had some struggles with substance use. How have those experiences made you feel?
"All right. And how much danger were the people that you were fighting? Like, did you seriously hurt them or...?",I see. And how did that make you feel?
All right. How many times did that happen where you seriously hurt somebody?,I see. And how did that make you feel?
"Can you explain what happened, like what caused the fight?",I see. And how did that make you feel?
What are your feelings about that?,I see. It sounds like you're feeling really upset and angry about this. Can you tell me more about what was going through your mind at that moment?
Because of the way she looked at you?,It sounds like you're feeling justified in your actions. Can you tell me more about why you felt she deserved it?
Do you ever have any feelings of guilt or remorse about that?,How did that make you feel?
Have you ever apologized to any of the people that were hurt?,I see. How does that make you feel?
"Oh, so in some of these situations, apologizing was kind of required?",I see. How does that make you feel when you apologize like that?
So you apologized to them but you didn't really mean it? Or what were you thinking?,"It sounds like you felt pressured to apologize, rather than feeling it was something you truly wanted to do."
Were you successful in getting out of trouble?,"I see. It sounds like you felt pressured to apologize, but it wasn't coming from a genuine place. How does that make you feel?"
You say that with a little pride. Is it something you take pride in? Being able to get out of trouble?,How did that make you feel?
So that's like something you look at as like a skill that you have?,It's understandable that you might feel that way. What does it feel like to be in that situation?
"Have you ever for the theft type activities, you ever felt any guilt or remorse there?",It's interesting that you see it as a skill. How does that make you feel?
It's kind of the same thing?,I see. How does that make you feel?
