Utterance,Type,ID,NJ,WE,RA,AL,RF,SA
"So Tommy, I wanted to talk to you because I was on Facebook the other day and saw some pictures that are kind of concerning to me of you and some of your friends at a party. You're such a good kid, like I don't know what you're doing drinking, it's going to ruin your life.",T,25jUW52zAvU_1,-1.0,-1.0,-2.0,1.0,-1.0,2.0
"I mean, it was just like a social gathering, it wasn't like I was looking for it. The drinks were there and all my friends were doing it, and it was just... it's not something that I do on occasion, but whenever the opportunity presents itself, it's nice to just let loose and have a little bit of fun sometimes.",P,25jUW52zAvU_2,,,,,,
"But Tommy, there's so many consequences with drinking. You're not even 21 yet. You could get arrested, you could have a drunk driving accident, you could mess up your schoolwork. You have such a bright future ahead of you, it just really, really concerns me.",T,25jUW52zAvU_3,-1.0,-1.0,-2.0,1.0,-1.0,2.0
"I get where you're coming from, but I thought that I had it under control and I didn't let myself get too far gone. I wanted to be in control and I wanted to make sure that all my friends were okay so I didn't let myself drink too much.",P,25jUW52zAvU_4,,,,,,
"There's really no such thing as not drinking too much. I mean, anything that's drinking when you're underage is drinking too much. Think about all the things that can happen to you.",T,25jUW52zAvU_5,-1.0,-1.0,-2.0,0.0,-1.0,2.0
"Yeah, I understand exactly what you're saying and...",P,25jUW52zAvU_6,,,,,,
How much are you drinking?,T,25jUW52zAvU_7,0.0,0.0,0.0,0.0,0.0,2.0
"I don't think I'm drinking that much. I mean it's mainly for social gatherings, like it's nothing that I do by myself or whatever.",P,25jUW52zAvU_8,,,,,,
Is it like every weekend?,T,25jUW52zAvU_9,-1.0,-1.0,-1.0,0.0,-1.0,2.0
"Every other weekend, I would say.",P,25jUW52zAvU_10,,,,,,
"Tommy, I'm just so concerned. You know, can't you think of anything better to do?",T,25jUW52zAvU_11,-1.0,-1.0,-2.0,0.0,-1.0,1.0
"I guess I can. I could probably be more productive in my schoolwork rather than going out to parties as much, and I do get where you're coming from.",P,25jUW52zAvU_12,,,,,,
Are your friends the problem? Maybe you should just start hanging out with more kids in the youth group and not hang out with those kids you were partying with.,T,25jUW52zAvU_13,-1.0,-1.0,-2.0,1.0,-1.0,2.0
"Yeah, I guess I haven't really put it on myself, I guess it's really been forced on their account and I've just been following in their footsteps just because it seems like what they're doing is a lot of fun and I just want to make sure I'm getting every bit of the high school experience that I can.",P,25jUW52zAvU_14,,,,,,
"Well there's a lot of things that seem fun in the moment that we know aren't a good choice, right? That's some of the things we talk about all the time is making good choices for our life and really doing what's best for you and I just... you know, I really think you should think about making a big change here.",T,25jUW52zAvU_15,-1.0,-1.0,-2.0,0.0,-1.0,2.0
"Yeah, I do see that maybe me drinking not as much would possibly better my life to a certain degree and it does make a lot of sense and I guess I can put more effort into sort of lowering the level of drinking that I...",P,25jUW52zAvU_16,,,,,,
I think you really need to quit.,T,25jUW52zAvU_17,-1.0,-1.0,-2.0,0.0,-1.0,2.0
"Yeah, I mean alcohol is just so prevalent in our society and it's just around me wherever I go in parties and stuff that I kind of feel like I should just get used to it or at least understand its effects before I should let it get out of my life entirely. I don't really see it as something that will completely destroy my life.",P,25jUW52zAvU_18,,,,,,
"I think you're wrong. You know, it really worries me. Anyway, I wish you would quit. If all you're going to do is cut down, that's better than nothing. You know, I appreciate you talking to me about this, but I'm going to keep talking to you about it. It's really important.",T,25jUW52zAvU_19,-1.0,-1.0,-2.0,0.0,-1.0,2.0
"Yeah, I just don't see the problem in it right now and maybe it's because I haven't really had that traumatic of an experience but I'm...",P,25jUW52zAvU_20,,,,,,
Do you want to wait for that to happen? Do you want to wait for a dramatic experience?,T,25jUW52zAvU_21,-1.0,-1.0,-1.0,0.0,-1.0,2.0
You're right. I don't want to be too far gone before it's too late. Like I can imagine something possibly happening where it's to a degree where I can't escape. And I guess I've never really had any real experience where alcohol has really affected me that much or affected anybody close to me that much. So I guess it's something that I feel like I'm in control of but in reality I might not have as much control as I think.,P,25jUW52zAvU_22,,,,,,
"Alright, well maybe it's something we can work on together and you know, I think we should come up with a plan that's going to work for you so that you can get control here and stop drinking.",T,25jUW52zAvU_23,1.0,1.0,1.0,1.0,0.0,2.0
"Yeah, I think that would be a good step forward into a life of possibly being sober and just experiencing the true aspects of life rather than the haziness of alcohol.",P,25jUW52zAvU_24,,,,,,
"Okay, sounds good.",T,25jUW52zAvU_25,0.0,0.0,0.0,0.0,0.0,2.0
